Bradyrhizobium sp. BTAi1,Cupriavidus metallidurans,Methylobacterium sp. C1,Methylobacterium radiotolerans,Bradyrhizobium sp. SK17,Bradyrhizobium sp. S23321,Bradyrhizobium diazoefficiens,Carnobacterium inhibens,Ralstonia pickettii,Bradyrhizobium japonicum,Bradyrhizobium sp. CCGE-LA001,Methylobacterium populi,Methylobacterium oryzae,Bradyrhizobium sp.,Methylobacterium phyllosphaerae,Leuconostoc carnosum,Paucibacter sp. KCTC 42545,Methylobacterium extorquens,Mitsuaria sp. 7,Roseateles depolymerans,Rhodococcus fascians,Cutibacterium acnes,Streptococcus oralis,Erwinia billingiae,Jeotgalibacillus malaysiensis,Pseudomonas rhizosphaerae,Bradyrhizobium sp. ORS 278,Carnobacterium sp. 17-4,Pantoea agglomerans,Erwinia gerundensis,Rhodococcus sp. PBTS 2,Chroococcidiopsis thermalis,Methanobrevibacter millerae,Cupriavidus basilensis,Streptococcus mitis,Bradyrhizobium sp. ORS 285,Exiguobacterium sibiricum,Bradyrhizobium oligotrophicum,Streptococcus gordonii,Bacillus subtilis,Streptococcus parasanguinis,Rathayibacter tritici,Turicibacter sp. H121,Pantoea sp. PSNIH2,Methylobacterium sp. AMS5,Carnobacterium maltaromaticum,Listeria monocytogenes,Brevundimonas vesicularis,Pantoea sp. PSNIH1,Devosia sp. H5989
0.00497909,0.00277824,0.002413515,0.00059132,0.008104622,0.001776457,0.00955354,0.001821682,0.012733517,0.002478206,0.003922178,0.000934025,0.000679034,0.003326484,0.000625965,0.00769749,0.008727529,0.001490142,0.001259349,0.001183051,0.003452444,0.001000103,0.000256815,0.003862194,0.000641972,0.001647046,0.007386078,0.000144876,0.000397645,0.00197207,0.000946023,0.000671064,0.001255348,0.000847705,0.002665246,0.000184053,0.001425267,0.000940186,0.00168902,0.002152116,0.006485458,0.001638673,0.000727036,0.00023404,0.000320051,0.005635902,0.005223166,0.001464801,0.001791952,9.00E-05
0.003631893,0.010357791,0.012100313,0.00232149,0.028003464,0.001553104,0.002029751,0.00887635,0.002883301,0.005332568,0.001904496,0.000853657,0.001927712,0.008213478,0.000474047,0.003366042,0.000796876,0.016980405,0.007281116,0.001019896,0.000361908,0.003622397,0.005117844,0.001082187,0.004693285,0.000891279,0.00623332,2.69E-05,0.001051923,0.002309556,0.001880473,0.000775464,6.59E-05,0.000477198,0.003903784,0.000663771,0.002591046,0.001087907,0.000887691,0.002397589,0.001780578,0.002626828,0.000907089,0.002042359,0.000273887,0.000174464,0.000679324,0.002162665,0.001012902,0.000319151
0.00287345,0.002098546,0.013324129,0.00571049,0.003797,0.001458681,0.010458832,0.000490824,0.005946079,0.009600208,0.004313133,0.003186167,0.01554325,0.001191196,0.011202692,0.001741645,0.001174213,0.001996221,0.003457547,0.002803358,0.002381438,0.002219106,0.000389707,0.009114531,0.002523426,0.002409584,0.003026432,0.000365625,0.000398324,0.001545055,0.004174192,0.003096519,0.000363379,0.006488597,0.003333915,0.000521111,0.000188124,0.001514921,0.001132616,0.001898074,0.000925446,0.001273868,0.00054954,0.001255894,0.00129137,0.00583564,0.000407341,0.000676992,0.005471978,0.00048433
0.012244946,0.003763227,0.002226116,9.33E-05,0.010720375,0.009917902,0.003152144,0.004867733,0.009748662,0.000352609,0.001805535,0.002461127,0.00372238,0.001895772,0.00344184,0.004663652,0.000517543,0.001788531,0.002716583,0.000739696,0.003196013,0.003294319,0.003855719,0.005872638,0.003645124,0.00260126,0.011212434,0.001686898,0.001414378,0.000939422,0.001561233,0.001891246,0.002103362,0.000627373,0.00341747,0.000909295,0.000640889,0.00051603,0.000463557,0.00189141,0.00190454,0.000758067,0.000192859,0.001107604,0.001828425,0.000276714,0.00080812,0.002595932,0.004675593,0.006234773
0.002335588,0.001427754,0.01618569,0.001239636,0.005295222,0.008122335,0.001730017,0.002876018,0.009263372,0.001670075,0.001212121,0.001686191,0.008114923,0.001681385,0.000748202,0.004460123,0.000603013,0.000701548,0.001098669,0.003983768,0.003173148,0.003428317,0.001298619,0.011397293,0.002860675,0.001111456,0.001192422,0.000781956,0.000670687,0.000477062,0.004157659,0.005496411,0.000889224,0.002279703,0.001409448,0.001260923,0.00069085,0.001501321,0.002763205,0.002269274,0.001436239,0.003973653,0.001713,0.001153846,0.002404733,0.003810088,0.001196428,0.000994773,0.001966982,0.000439636
0.012578405,0.000535134,0.005277866,0.009316536,0.009195898,0.008068321,0.001157671,0.001830599,0.007507655,0.003903952,0.000679044,0.001274546,0.000465162,0.00059279,0.002846766,0.002865194,0.001089478,0.000992105,0.002375485,0.014114509,0.001388687,0.003786589,0.001139401,0.003795028,0.002170968,0.001743137,0.000296008,0.002298476,0.002237077,0.005290986,0.000633067,0.002228433,4.05E-05,0.000470256,0.000158144,0.000356879,0.000377691,0.00697441,0.006710093,0.000621297,0.001275172,0.001343502,0.001190305,0.001751369,0.001164033,0.000655371,0.003312802,0.003182988,0.004449696,0.000752931
0.02514586,0.008047826,0.010234047,0.000941651,0.00936472,0.001408276,0.010270478,0.006943411,0.000392869,0.004182947,0.002833096,0.002023546,0.004305523,0.000713322,0.001411688,0.00297633,0.008616944,0.000824163,0.00049143,0.014468024,0.004258534,0.002579939,0.001639108,0.001255437,0.001606031,0.001043616,0.00063383,0.002052344,0.001719068,0.001354736,0.005321726,0.006809757,0.002039921,0.000206859,0.004824062,0.000436418,0.001208263,0.00054793,0.000602307,0.001105328,0.004621989,0.001584822,0.000727207,0.003119769,0.000118264,0.000502882,0.000741952,0.002070107,0.001582337,0.000631156
0.002889908,0.022044529,0.01146606,0.001553856,0.002517782,0.002022879,0.001815278,0.008758311,0.001229949,0.000750855,0.010316011,0.001642277,0.009641202,0.0005853,0.007956816,0.00160742,0.014129706,0.002603277,0.001737899,0.006949376,0.001129813,0.001068895,0.002320333,0.001201108,0.001918234,0.000661343,0.006432082,0.000830824,0.002720301,0.005144087,0.001870666,0.000435248,0.001937025,0.012191155,0.003425158,0.001350177,0.000566402,0.001428932,0.001455504,0.002117252,0.002238179,0.004317936,0.000993919,0.002412779,0.000642667,0.002678483,0.00235405,0.002952259,0.004532056,0.006359329
0.004058711,0.002988001,0.007514644,0.003522922,0.01147588,0.000497175,0.00186831,0.006038184,0.001610273,0.006070406,0.003394069,0.002699682,0.007851683,0.000582891,0.002712003,0.003625672,0.001051629,0.009316702,3.71E-05,0.014067408,0.001010028,0.00402543,0.00086898,0.000571313,0.000459375,0.001155515,0.001156746,0.009826752,0.009768128,0.001996665,0.002903804,0.001862268,0.005269319,0.000389185,0.00345167,0.00201534,0.005666786,0.000759702,0.000560939,0.001882185,0.001001433,0.00347238,0.003348259,0.00186053,0.00065275,0.004529321,0.000405757,0.00239989,0.000673086,0.002465252
0.004312633,0.001040921,0.002312032,0.001554665,0.001857632,0.00287023,0.011532481,0.011567705,0.005749672,0.007795786,0.001378139,0.000953464,0.00260179,0.001305148,0.001622582,0.002154805,0.001541973,0.010502892,0.007419288,0.000420902,0.000856209,0.000828186,0.004611382,0.001132679,0.007351561,0.003780231,0.000887656,0.005162631,0.001156953,0.005655784,0.002194112,0.002220464,0.00047856,0.000677801,0.001985253,0.002101583,0.001278204,0.002675565,0.002770385,0.005026068,0.001030161,0.00088352,0.002507601,0.002321275,0.002504165,0.000872046,0.001763247,0.000459925,0.001567989,0.000545856
