,Classifier,Preprocessing,Noise,Training_Time_in_sec,Accuracy,Top_2_accuracy,Top_3_accuracy,Top_5_accuracy,Top_10_accuracy,Precision,Recall
extra_tree_binary_1,extra_tree,binary,1,59.46658516,0.305064782,0.441696113,0.494699647,0.659599529,0.799764429,0.305064782,0.305064782
extra_tree_binary_10,extra_tree,binary,10,62.24999428,0.182567727,0.341578327,0.477031802,0.567726737,0.685512367,0.182567727,0.182567727
extra_tree_binary_100,extra_tree,binary,100,62.08042908,0.182567727,0.341578327,0.477031802,0.567726737,0.692579505,0.182567727,0.182567727
extra_tree_binary_1000,extra_tree,binary,1000,62.12761116,0.182567727,0.341578327,0.477031802,0.567726737,0.696113074,0.182567727,0.182567727
gaussianNB_raw_0,gaussianNB,raw,0,0.092368841,0.510011779,0.526501767,0.530035336,0.53828033,0.567726737,0.510011779,0.510011779
gaussianNB_raw_1e-10,gaussianNB,raw,1.00E-10,0.092254877,0.510011779,0.526501767,0.530035336,0.53828033,0.567726737,0.510011779,0.510011779
gaussianNB_raw_1e-09,gaussianNB,raw,1.00E-09,0.092617035,0.510011779,0.526501767,0.530035336,0.53828033,0.567726737,0.510011779,0.510011779
gaussianNB_raw_1e-08,gaussianNB,raw,1.00E-08,0.092427015,0.510011779,0.526501767,0.530035336,0.53828033,0.567726737,0.510011779,0.510011779
gaussianNB_raw_1e-07,gaussianNB,raw,1.00E-07,0.092377186,0.498233216,0.514723204,0.518256773,0.526501767,0.555948174,0.498233216,0.498233216
gaussianNB_raw_1e-06,gaussianNB,raw,1.00E-06,0.092520237,0.497055359,0.514723204,0.518256773,0.526501767,0.555948174,0.497055359,0.497055359
gaussianNB_raw_1e-05,gaussianNB,raw,1.00E-05,0.092530966,0.495877503,0.517078916,0.520612485,0.528857479,0.558303887,0.495877503,0.495877503
gaussianNB_raw_0.0001,gaussianNB,raw,0.0001,0.09292388,0.495877503,0.541813899,0.545347468,0.553592462,0.583038869,0.495877503,0.495877503
gaussianNB_raw_0.001,gaussianNB,raw,0.001,0.093399048,0.508833922,0.583038869,0.590106007,0.598351001,0.627797409,0.508833922,0.508833922
gaussianNB_raw_0.01,gaussianNB,raw,0.01,0.092497826,0.553592462,0.637220259,0.645465253,0.654888104,0.684334511,0.553592462,0.553592462
gaussianNB_raw_0.1,gaussianNB,raw,0.1,0.092584133,0.345111896,0.51590106,0.593639576,0.666666667,0.726737338,0.345111896,0.345111896
gaussianNB_raw_1,gaussianNB,raw,1,0.09383297,0.042402827,0.080094229,0.113074205,0.151943463,0.294464075,0.042402827,0.042402827
gaussianNB_raw_10,gaussianNB,raw,10,0.092336893,0.003533569,0.003533569,0.005889282,0.015312132,0.035335689,0.003533569,0.003533569
gaussianNB_raw_100,gaussianNB,raw,100,0.092116117,0.002355713,0.003533569,0.003533569,0.008244994,0.028268551,0.002355713,0.002355713
gaussianNB_raw_1000,gaussianNB,raw,1000,0.09269309,0.003533569,0.00942285,0.015312132,0.021201413,0.042402827,0.003533569,0.003533569
knn_clr_0,knn,clr,0,0.003102064,0.7196702,0.842167256,0.885747939,0.92343934,0.955241461,0.724381625,0.724381625
knn_clr_1e-10,knn,clr,1.00E-10,0.003054142,0.7196702,0.842167256,0.885747939,0.92343934,0.955241461,0.724381625,0.724381625
knn_clr_1e-09,knn,clr,1.00E-09,0.003133059,0.7196702,0.842167256,0.885747939,0.92343934,0.955241461,0.724381625,0.724381625
knn_clr_1e-08,knn,clr,1.00E-08,0.003107071,0.7196702,0.842167256,0.885747939,0.92343934,0.955241461,0.724381625,0.724381625
knn_clr_1e-07,knn,clr,1.00E-07,0.003108978,0.7196702,0.842167256,0.885747939,0.92343934,0.955241461,0.724381625,0.724381625
knn_clr_1e-06,knn,clr,1.00E-06,0.003078938,0.7196702,0.842167256,0.885747939,0.92343934,0.955241461,0.724381625,0.724381625
knn_clr_1e-05,knn,clr,1.00E-05,0.003093958,0.7196702,0.842167256,0.885747939,0.92343934,0.955241461,0.724381625,0.724381625
knn_clr_0.0001,knn,clr,0.0001,0.003114939,0.7196702,0.842167256,0.885747939,0.92343934,0.955241461,0.724381625,0.724381625
knn_clr_0.001,knn,clr,0.001,0.003061056,0.7196702,0.842167256,0.885747939,0.92343934,0.955241461,0.724381625,0.724381625
knn_clr_0.01,knn,clr,0.01,0.003115177,0.7196702,0.842167256,0.885747939,0.92343934,0.955241461,0.724381625,0.724381625
knn_clr_0.1,knn,clr,0.1,0.003136873,0.7196702,0.842167256,0.886925795,0.922261484,0.954063604,0.723203769,0.723203769
knn_clr_1,knn,clr,1,0.003051996,0.717314488,0.839811543,0.886925795,0.92343934,0.956419317,0.723203769,0.723203769
knn_clr_10,knn,clr,10,0.003111124,0.499411072,0.659599529,0.725559482,0.789163722,0.865724382,0.50647821,0.50647821
knn_clr_100,knn,clr,100,0.003087997,0.182567727,0.332155477,0.477031802,0.555948174,0.628975265,0.191990577,0.191990577
