Taxonomic_classification,Name,Classifier,Preprocessing,Noise,Training_Time_in_sec,Accuracy,Top_2_accuracy,Top_3_accuracy,Top_5_accuracy,Top_10_accuracy,Precision,Recall
order,linear_svc_standard_scalar,linear_svc,standard_scalar,0.001,0.037309885,0.722222222,0.861111111,0.888888889,0.944444444,1,0.694444444,0.694444444
order,linear_svc_standard_scalar,linear_svc,standard_scalar,0.01,0.037536144,0.722222222,0.888888889,0.916666667,1,1,0.694444444,0.694444444
order,linear_svc_standard_scalar,linear_svc,standard_scalar,0.1,0.037573814,0.777777778,0.888888889,0.916666667,1,1,0.694444444,0.694444444
order,linear_svc_standard_scalar,linear_svc,standard_scalar,1,0.0386765,0.527777778,0.777777778,0.805555556,0.916666667,1,0.5,0.5
order,linear_svc_standard_scalar,linear_svc,standard_scalar,10,0.037976503,0.083333333,0.277777778,0.472222222,0.805555556,1,0.25,0.25
order,linear_svc_standard_scalar,linear_svc,standard_scalar,100,0.037915468,0.083333333,0.277777778,0.472222222,0.805555556,1,0.194444444,0.194444444
order,linear_svc_standard_scalar,linear_svc,standard_scalar,1000,0.038657188,0.194444444,0.277777778,0.472222222,0.805555556,1,0.083333333,0.083333333
family,random_forest_raw,random_forest,raw,0,1.282220602,0.666666667,0.75,0.833333333,0.944444444,1,0.666666667,0.666666667
family,random_forest_raw,random_forest,raw,1.00E-10,1.635450125,0.666666667,0.722222222,0.805555556,0.916666667,1,0.666666667,0.666666667
family,random_forest_raw,random_forest,raw,1.00E-09,1.631510735,0.694444444,0.75,0.833333333,0.916666667,1,0.694444444,0.694444444
family,random_forest_raw,random_forest,raw,1.00E-08,1.643774748,0.666666667,0.722222222,0.861111111,0.916666667,1,0.666666667,0.666666667
family,random_forest_raw,random_forest,raw,1.00E-07,1.815978289,0.583333333,0.666666667,0.861111111,0.916666667,1,0.583333333,0.583333333
family,random_forest_raw,random_forest,raw,1.00E-06,3.454257488,0.472222222,0.583333333,0.722222222,0.944444444,1,0.472222222,0.472222222
family,random_forest_raw,random_forest,raw,1.00E-05,5.755101204,0.5,0.611111111,0.75,0.944444444,1,0.5,0.5
family,random_forest_raw,random_forest,raw,0.0001,6.322376251,0.5,0.611111111,0.722222222,0.916666667,1,0.5,0.5
family,random_forest_raw,random_forest,raw,0.001,6.310434103,0.444444444,0.583333333,0.75,0.944444444,1,0.444444444,0.444444444
family,random_forest_raw,random_forest,raw,0.01,6.315542459,0.472222222,0.555555556,0.722222222,0.888888889,1,0.472222222,0.472222222
family,random_forest_raw,random_forest,raw,0.1,6.352309227,0.472222222,0.555555556,0.694444444,0.944444444,1,0.472222222,0.472222222
family,random_forest_raw,random_forest,raw,1,6.685526133,0.277777778,0.388888889,0.5,0.75,1,0.277777778,0.277777778
family,random_forest_raw,random_forest,raw,10,6.782120943,0.194444444,0.388888889,0.444444444,0.75,1,0.194444444,0.194444444
family,random_forest_raw,random_forest,raw,100,6.805662155,0.194444444,0.388888889,0.444444444,0.75,1,0.194444444,0.194444444
family,random_forest_raw,random_forest,raw,1000,6.906718254,0.194444444,0.388888889,0.444444444,0.75,1,0.194444444,0.194444444
genus,linear_svc_raw,linear_svc,raw,0,0.124936819,0.833333333,0.944444444,0.972222222,1,1,0.75,0.75
genus,linear_svc_raw,linear_svc,raw,1.00E-10,0.126288176,0.805555556,0.972222222,0.972222222,1,1,0.75,0.75
genus,linear_svc_raw,linear_svc,raw,1.00E-09,0.123736143,0.805555556,0.888888889,0.916666667,0.944444444,1,0.75,0.75
genus,linear_svc_raw,linear_svc,raw,1.00E-08,0.123870611,0.777777778,0.888888889,0.916666667,1,1,0.75,0.75
genus,linear_svc_raw,linear_svc,raw,1.00E-07,0.124033213,0.777777778,0.888888889,0.916666667,0.972222222,1,0.75,0.75
genus,linear_svc_raw,linear_svc,raw,1.00E-06,0.127921343,0.805555556,0.888888889,0.972222222,1,1,0.75,0.75
genus,linear_svc_raw,linear_svc,raw,1.00E-05,0.127515554,0.75,0.888888889,0.972222222,1,1,0.75,0.75
genus,linear_svc_raw,linear_svc,raw,0.0001,0.124479771,0.888888889,0.944444444,0.972222222,1,1,0.75,0.75
genus,linear_svc_raw,linear_svc,raw,0.001,0.123906374,0.861111111,0.972222222,0.972222222,1,1,0.75,0.75
genus,linear_svc_raw,linear_svc,raw,0.01,0.124412775,0.777777778,0.888888889,0.972222222,1,1,0.75,0.75
genus,linear_svc_raw,linear_svc,raw,0.1,0.12582016,0.777777778,0.888888889,0.944444444,1,1,0.722222222,0.722222222
genus,linear_svc_raw,linear_svc,raw,1,0.130435944,0.305555556,0.361111111,0.555555556,0.722222222,1,0.361111111,0.361111111
genus,linear_svc_raw,linear_svc,raw,10,0.131573915,0.166666667,0.305555556,0.388888889,0.666666667,1,0.166666667,0.166666667
genus,linear_svc_raw,linear_svc,raw,100,0.132430792,0.166666667,0.305555556,0.388888889,0.666666667,1,0.166666667,0.166666667
genus,linear_svc_raw,linear_svc,raw,1000,0.130491257,0.166666667,0.305555556,0.472222222,0.666666667,1,0.166666667,0.166666667
otu,logistic_regression_binary,logistic_regression,binary,0,1.147110939,0.833333333,0.888888889,0.888888889,0.916666667,1,0.833333333,0.833333333
otu,logistic_regression_binary,logistic_regression,binary,1.00E-10,1.114921331,0.833333333,0.888888889,0.888888889,0.916666667,1,0.833333333,0.833333333
otu,logistic_regression_binary,logistic_regression,binary,1.00E-09,1.120959044,0.833333333,0.888888889,0.888888889,0.916666667,1,0.833333333,0.833333333
otu,logistic_regression_binary,logistic_regression,binary,1.00E-08,1.161244631,0.833333333,0.888888889,0.888888889,0.916666667,1,0.833333333,0.833333333
otu,logistic_regression_binary,logistic_regression,binary,1.00E-07,1.151213408,0.833333333,0.888888889,0.888888889,0.916666667,1,0.833333333,0.833333333
otu,logistic_regression_binary,logistic_regression,binary,1.00E-06,1.151963472,0.833333333,0.888888889,0.888888889,0.916666667,1,0.833333333,0.833333333
otu,logistic_regression_binary,logistic_regression,binary,1.00E-05,1.160205364,0.833333333,0.888888889,0.888888889,0.916666667,1,0.833333333,0.833333333
otu,logistic_regression_binary,logistic_regression,binary,0.0001,1.159776688,0.833333333,0.888888889,0.888888889,0.916666667,1,0.833333333,0.833333333
otu,logistic_regression_binary,logistic_regression,binary,0.001,1.154281855,0.833333333,0.888888889,0.888888889,0.916666667,1,0.833333333,0.833333333
otu,logistic_regression_binary,logistic_regression,binary,0.01,1.15133214,0.833333333,0.888888889,0.888888889,0.916666667,1,0.833333333,0.833333333
otu,logistic_regression_binary,logistic_regression,binary,0.1,1.15599823,0.75,0.861111111,0.861111111,0.916666667,1,0.75,0.75
otu,logistic_regression_binary,logistic_regression,binary,1,0.848140001,0.305555556,0.416666667,0.527777778,0.75,1,0.305555556,0.305555556
otu,logistic_regression_binary,logistic_regression,binary,10,0.550287008,0.222222222,0.361111111,0.5,0.75,1,0.222222222,0.222222222
otu,logistic_regression_binary,logistic_regression,binary,100,0.545436144,0.027777778,0.222222222,0.388888889,0.527777778,1,0.027777778,0.027777778
otu,logistic_regression_binary,logistic_regression,binary,1000,0.565758467,0.166666667,0.277777778,0.333333333,0.555555556,1,0.166666667,0.166666667
