,Classifier,Preprocessing,Noise,Training_Time_in_sec,Accuracy,Top_2_accuracy,Top_3_accuracy,Top_5_accuracy,Top_10_accuracy,Precision,Recall
knn_standard_scalar_1e-06,knn,standard_scalar,1e-06,0.0032138824462890625,0.7921615201900237,0.9406175771971497,0.9809976247030879,0.997624703087886,1.0,0.7921615201900237,0.7921615201900237
knn_standard_scalar_1e-05,knn,standard_scalar,1e-05,0.0032100677490234375,0.7921615201900237,0.9406175771971497,0.9809976247030879,0.997624703087886,1.0,0.7921615201900237,0.7921615201900237
knn_standard_scalar_0.0001,knn,standard_scalar,0.0001,0.003156900405883789,0.7921615201900237,0.9406175771971497,0.9809976247030879,0.997624703087886,1.0,0.7921615201900237,0.7921615201900237
knn_standard_scalar_0.001,knn,standard_scalar,0.001,0.0029861927032470703,0.7921615201900237,0.9406175771971497,0.9809976247030879,0.997624703087886,1.0,0.7921615201900237,0.7921615201900237
knn_standard_scalar_0.01,knn,standard_scalar,0.01,0.003347158432006836,0.7921615201900237,0.9394299287410927,0.9809976247030879,0.997624703087886,1.0,0.7921615201900237,0.7921615201900237
knn_standard_scalar_0.1,knn,standard_scalar,0.1,0.0033218860626220703,0.7897862232779097,0.9394299287410927,0.9809976247030879,0.997624703087886,1.0,0.7897862232779097,0.7897862232779097
knn_standard_scalar_1,knn,standard_scalar,1.0,0.003033161163330078,0.7802850356294537,0.9323040380047506,0.9809976247030879,0.996437054631829,1.0,0.7802850356294537,0.7802850356294537
knn_standard_scalar_10,knn,standard_scalar,10.0,0.003041982650756836,0.36342042755344417,0.7268408551068883,0.8610451306413301,0.9691211401425178,1.0,0.36342042755344417,0.36342042755344417
knn_standard_scalar_100,knn,standard_scalar,100.0,0.003030061721801758,0.3646080760095012,0.6769596199524941,0.8634204275534442,0.9596199524940617,1.0,0.3646080760095012,0.3646080760095012
knn_standard_scalar_1000,knn,standard_scalar,1000.0,0.003261089324951172,0.3646080760095012,0.6769596199524941,0.8634204275534442,0.9619952494061758,1.0,0.3646080760095012,0.3646080760095012
knn_total_sum_0,knn,total_sum,0.0,0.01731395721435547,0.8515439429928741,0.9560570071258907,0.9833729216152018,0.994061757719715,1.0,0.8515439429928741,0.8515439429928741
knn_total_sum_1e-10,knn,total_sum,1e-10,0.017475128173828125,0.8515439429928741,0.9560570071258907,0.9833729216152018,0.994061757719715,1.0,0.8515439429928741,0.8515439429928741
knn_total_sum_1e-09,knn,total_sum,1e-09,0.016902923583984375,0.8515439429928741,0.9560570071258907,0.9833729216152018,0.994061757719715,1.0,0.8515439429928741,0.8515439429928741
knn_total_sum_1e-08,knn,total_sum,1e-08,0.01727914810180664,0.8527315914489311,0.9560570071258907,0.9833729216152018,0.994061757719715,1.0,0.8527315914489311,0.8527315914489311
knn_total_sum_1e-07,knn,total_sum,1e-07,0.017133235931396484,0.8515439429928741,0.9560570071258907,0.9833729216152018,0.994061757719715,1.0,0.8515439429928741,0.8515439429928741
knn_total_sum_1e-06,knn,total_sum,1e-06,0.017113924026489258,0.8515439429928741,0.9560570071258907,0.9833729216152018,0.994061757719715,1.0,0.8515439429928741,0.8515439429928741
knn_total_sum_1e-05,knn,total_sum,1e-05,0.017178773880004883,0.8515439429928741,0.9560570071258907,0.9833729216152018,0.994061757719715,1.0,0.8515439429928741,0.8515439429928741
knn_total_sum_0.0001,knn,total_sum,0.0001,0.01685786247253418,0.8491686460807601,0.9560570071258907,0.9869358669833729,0.995249406175772,1.0,0.8491686460807601,0.8491686460807601
knn_total_sum_0.001,knn,total_sum,0.001,0.0173799991607666,0.7280285035629454,0.8741092636579573,0.9655581947743468,0.9857482185273159,1.0,0.7280285035629454,0.7280285035629454
knn_total_sum_0.01,knn,total_sum,0.01,0.017158031463623047,0.31353919239904987,0.5130641330166271,0.8634204275534442,0.9619952494061758,1.0,0.31353919239904987,0.31353919239904987
knn_total_sum_0.1,knn,total_sum,0.1,0.017184019088745117,0.3646080760095012,0.6769596199524941,0.7565320665083135,0.9619952494061758,1.0,0.3646080760095012,0.3646080760095012
knn_total_sum_1,knn,total_sum,1.0,0.01699376106262207,0.32304038004750596,0.6769596199524941,0.8634204275534442,0.9619952494061758,1.0,0.32304038004750596,0.32304038004750596
knn_total_sum_10,knn,total_sum,10.0,0.016936063766479492,0.31235154394299286,0.6769596199524941,0.8634204275534442,0.9619952494061758,1.0,0.31235154394299286,0.31235154394299286
knn_total_sum_100,knn,total_sum,100.0,0.01713728904724121,0.3646080760095012,0.6769596199524941,0.7565320665083135,0.9631828978622328,1.0,0.3646080760095012,0.3646080760095012
knn_total_sum_1000,knn,total_sum,1000.0,0.016762256622314453,0.3646080760095012,0.6769596199524941,0.8634204275534442,0.9619952494061758,1.0,0.3646080760095012,0.3646080760095012
LDA_binary_0,LDA,binary,0.0,13.589656114578247,0.5106888361045131,0.7280285035629454,0.836104513064133,0.9323040380047506,1.0,0.5106888361045131,0.5106888361045131
LDA_binary_1e-10,LDA,binary,1e-10,13.6787850856781,0.17814726840855108,0.26128266033254155,0.39429928741092635,0.7268408551068883,1.0,0.17814726840855108,0.17814726840855108
LDA_binary_1e-09,LDA,binary,1e-09,13.612021923065186,0.2007125890736342,0.30403800475059384,0.42161520190023755,0.7553444180522565,1.0,0.2007125890736342,0.2007125890736342
LDA_binary_1e-08,LDA,binary,1e-08,10.417509078979492,0.2209026128266033,0.3171021377672209,0.4346793349168646,0.7256532066508313,1.0,0.2209026128266033,0.2209026128266033
LDA_binary_1e-07,LDA,binary,1e-07,10.04098629951477,0.19358669833729217,0.2921615201900237,0.41092636579572445,0.7422802850356295,1.0,0.19358669833729217,0.19358669833729217
LDA_binary_1e-06,LDA,binary,1e-06,9.682016611099243,0.24465558194774348,0.34323040380047504,0.4477434679334917,0.7541567695961995,1.0,0.24465558194774348,0.24465558194774348
LDA_binary_1e-05,LDA,binary,1e-05,9.854634046554565,0.21021377672209027,0.2980997624703088,0.40736342042755347,0.7636579572446556,1.0,0.21021377672209027,0.21021377672209027
LDA_binary_0.0001,LDA,binary,0.0001,10.672892093658447,0.23159144893111638,0.3194774346793349,0.4251781472684085,0.7612826603325415,1.0,0.23159144893111638,0.23159144893111638
LDA_binary_0.001,LDA,binary,0.001,10.178526878356934,0.5106888361045131,0.7090261282660333,0.8242280285035629,0.9180522565320665,1.0,0.5106888361045131,0.5106888361045131
LDA_binary_0.01,LDA,binary,0.01,9.527238845825195,0.7019002375296912,0.8776722090261283,0.9429928741092637,0.982185273159145,1.0,0.7019002375296912,0.7019002375296912
LDA_binary_0.1,LDA,binary,0.1,10.165036678314209,0.7624703087885986,0.9263657957244655,0.9726840855106889,0.995249406175772,1.0,0.7624703087885986,0.7624703087885986
LDA_binary_1,LDA,binary,1.0,10.143172025680542,0.7600950118764845,0.9061757719714965,0.9477434679334917,0.9798099762470309,1.0,0.7600950118764845,0.7600950118764845
LDA_binary_10,LDA,binary,10.0,9.43159294128418,0.5095011876484561,0.6769596199524941,0.8634204275534442,0.9619952494061758,1.0,0.5095011876484561,0.5095011876484561
LDA_binary_100,LDA,binary,100.0,9.826367139816284,0.31235154394299286,0.6769596199524941,0.8634204275534442,0.9619952494061758,1.0,0.31235154394299286,0.31235154394299286
LDA_binary_1000,LDA,binary,1000.0,9.511667251586914,0.3646080760095012,0.6769596199524941,0.8634204275534442,0.9619952494061758,1.0,0.3646080760095012,0.3646080760095012
LDA_clr_0,LDA,clr,0.0,9.49288296699524,0.5095011876484561,0.7434679334916865,0.828978622327791,0.9406175771971497,1.0,0.5095011876484561,0.5095011876484561
LDA_clr_1e-10,LDA,clr,1e-10,9.695075988769531,0.5095011876484561,0.7434679334916865,0.828978622327791,0.9406175771971497,1.0,0.5095011876484561,0.5095011876484561
LDA_clr_1e-09,LDA,clr,1e-09,9.27486801147461,0.5095011876484561,0.7434679334916865,0.828978622327791,0.9406175771971497,1.0,0.5095011876484561,0.5095011876484561
LDA_clr_1e-08,LDA,clr,1e-08,12.629297256469727,0.5095011876484561,0.7434679334916865,0.828978622327791,0.9406175771971497,1.0,0.5095011876484561,0.5095011876484561
LDA_clr_1e-07,LDA,clr,1e-07,9.42659306526184,0.5095011876484561,0.7434679334916865,0.828978622327791,0.9406175771971497,1.0,0.5095011876484561,0.5095011876484561
LDA_clr_1e-06,LDA,clr,1e-06,9.116199254989624,0.5095011876484561,0.7434679334916865,0.828978622327791,0.9406175771971497,1.0,0.5095011876484561,0.5095011876484561
LDA_clr_1e-05,LDA,clr,1e-05,9.264403820037842,0.5095011876484561,0.7434679334916865,0.828978622327791,0.9406175771971497,1.0,0.5095011876484561,0.5095011876484561
